label,sublabel,description,styles,bgcolor
燃やすごみ,,,img/001_moeruGOMI.svg,#e4007e
プラスチック・製容器包装,,,img/002_puraGOMI.svg,#509b5f
ペットボトル,,,img/003_peltutoGOMI.svg,#008cd6
かん,,,img/004_kanGOMI.svg,#a74e7a
びん,,,img/005_binGOMI.svg,#a675b0
金属類,,,img/006_kanaGOMI.svg,#b6a149
ガラス・陶器類,,,img/007_toukiGOMI.svg,#004ea2
紙パック・蛍光灯・電池類,,,img/008_kamipaltukuGOMI.svg,#f08b27
新聞,,,img/011_sinbunGOMI.svg,#7c6c62
雑誌・雑がみ,,,img/012_zaltushiGOMI.svg,#7f4c42
段ボール,,,img/013_danboruGOMI.svg,#5a4f1e
古着類,,,img/014_hurugiGOMI.svg,#267e9c
ビールびん・酒（一升）びん（リターナブルびん）,,,img/015_ritanalGOMI.svg,#125a71
